游戏排名,游戏名称,游戏厂商,游戏评分,游戏分类,游戏标签,游戏数据
1,妄想山海,厂商: 腾讯,6.7,角色扮演,"开放世界,高自由度,山海经",1412831 人安装 5722072 人关注
2,通感纪元（预下载）,厂商: 60制作组,8.8,策略,"二次元,日系,赛博朋克",1313427 人关注
3,天谕（预下载）,厂商: 网易游戏,8.6,角色扮演,"幻想,3D,MMORPG",106847 人安装 172256 人关注
4,最终庇护所（测试版）,厂商: 悟饭游戏,7.5,模拟,"末日,策略,模拟经营",5523099 人安装 1005037 人关注
5,人类跌落梦境,厂商: 心动网络,7.0,冒险,"多人,冒险,魔性",90298814 人安装 17574727 人关注
6,使命召唤手游,厂商: 腾讯,8.0,动作,"第一人称射击,高画质,多人对战",7744318 人安装 7426799 人关注
7,人工桌面,厂商: miHoYo,8.3,桌面和棋类,"美少女,高画质,3D",433725 人关注
8,密室逃脱绝境系列9无人医院,厂商: 深圳市火星人互动娱乐有限公司,8.7,益智,"儿童保护,密室逃脱,恐怖",4410586 人安装 1993185 人关注
9,仙境传说RO：守护永恒的爱,厂商: 心动网络,7.1,角色扮演,"MMORPG,二次元,联机",4161765 人安装 2777722 人关注
10,香肠派对,厂商: 真有趣游戏,7.6,动作,"射击,吃鸡,多人",618547 人关注
11,原神,厂商: miHoYo,4.4,角色扮演,"开放世界,二次元,角色扮演",7708529 人安装 3626264 人关注
12,2048清（测试版）,厂商: 召合网络,9.9,益智,"竖屏,消除,单机",341287 人安装 458388 人关注
13,还有这种操作,厂商: 青豆工作室,8.8,知识问答,"烧脑,有毒,单机",7492800 人安装 3860966 人关注
14,战双帕弥什,厂商: 库洛游戏,7.2,角色扮演,"动作,高画质,二次元",112388 人关注
15,论如何建立一个修仙门派（测试版）,厂商: HydrozoaWorks,8.6,模拟,"修仙,文字,单机",378273 人安装 245691 人关注
16,月圆之夜,厂商: 滴答工作室,9.3,冒险,"卡牌,单机,Roguelike",10658924 人安装 3960546 人关注
17,旅行青蛙：中国之旅,厂商: 广州灵犀互动娱乐有限公司,6.6,休闲,"宠物,治愈,放置",472419 人安装 404246 人关注
18,光·遇,厂商: 网易游戏,6.0,角色扮演,"唯美,治愈,RPG",1028110 人关注
19,原石计划（测试版）,厂商: AliveGameStudio,9.2,卡牌,"Roguelike,战棋,卡牌",554805 人安装 463582 人关注
20,武林英雄传,厂商: 弘程游戏,7.7,角色扮演,"武侠,策略,放置",1027524 人关注
21,江南百景图,厂商: 椰岛游戏,7.1,模拟,"建设,经营,放置",17701671 人安装 8234582 人关注
22,2047,厂商: 文艺复兴工作室,8.9,卡牌,"CCG,卡牌,卡牌对战",813587 人安装 1177363 人关注
23,抽卡人生（测试版）,厂商: CannedFish Game,8.3,策略,"单机,有毒,生存",10486064 人安装 4804590 人关注
24,永不言弃！！,厂商: 东品游戏,7.1,音乐,"虐心,手残,节奏",1660780 人安装 1222736 人关注
25,Phigros（测试版）,厂商: Pigeon Games | 鸽游,9.6,音乐,"音游,节奏,UP主推荐",261743 人安装 245901 人关注
26,元气骑士,厂商: 凉屋游戏,9.6,动作,"Roguelike,地牢,像素",1154917 人安装 820075 人关注
27,另一个伊甸 : 超越时空的猫,厂商: 心动网络,9.1,角色扮演,"单机,回合制,RPG",1378146 人购买 1886073 人关注
28,明日方舟,厂商: 鹰角网络,8.0,策略,"塔防,二次元,养成",487440 人关注
29,星季,厂商: 星予网络,9.2,休闲,"唯美,单机,独立游戏",21462640 人安装 35473514 人关注
