游戏排名,游戏名称,游戏厂商,游戏评分,游戏分类,游戏标签,游戏数据
1,王者荣耀 CN,厂商: 腾讯,4.8,动作,"多人对战,MOBA,联机",30745584 人安装 34838816 人关注
2,明日方舟 CN,厂商: 鹰角网络,8,策略,"塔防,二次元,养成",402925 人安装 776747 人关注
3,使命召唤手游 CN,厂商: 腾讯,8,动作,"第一人称射击,高画质,多人对战",7085312 人安装 2589735 人关注
4,妄想山海,厂商: 腾讯,6.7,角色扮演,"开放世界,高自由度,山海经",7490505 人安装 3860147 人关注
5,原神 CN,厂商: miHoYo,4.4,角色扮演,"开放世界,二次元,角色扮演",813166 人安装 1177149 人关注
6,和平精英 CN,厂商: 腾讯,6.9,动作,"多人联机,射击,第一人称射击",726668 人安装 873002 人关注
7,幻书启世录,厂商: 网易游戏,4.6,角色扮演,"高画质,二次元,卡牌",864894 人安装 2304695 人关注
8,阴阳师,厂商: 网易游戏,7.1,角色扮演,"卡牌,养成,回合制",2430089 人安装 1757736 人关注
9,光·遇 CN,厂商: 网易游戏,6,角色扮演,"唯美,治愈,RPG",10262612 人安装 5020882 人关注
10,另一个伊甸 : 超越时空的猫 CN,厂商: 心动网络,9.1,角色扮演,"单机,回合制,RPG",3994929 人安装 5286496 人关注
11,魔渊之刃,厂商: 雷霆游戏,5.8,动作,"ARPG,动作,Roguelike",3478135 人安装 2201775 人关注
12,天涯明月刀,厂商: 腾讯,6.7,角色扮演,"武侠,高画质,MMORPG",6885668 人安装 3035696 人关注
13,碧蓝航线 CN,厂商: 哔哩哔哩游戏,8.6,策略,"二次元,美少女,养成",4160757 人安装 2777269 人关注
14,炉石传说,"厂商: Blizzard Entertainment, Inc.",7.2,策略,"CCG,暴雪,策略",150519 人安装 1494428 人关注
15,火影忍者 CN,厂商: 腾讯,7,动作,"格斗,动作,ACG",7707859 人安装 3625902 人关注
16,命运-冠位指定（Fate/Grand Order） CN,厂商: 哔哩哔哩游戏,7.6,角色扮演,"二次元,卡牌养成,卡牌",17700602 人安装 8233943 人关注
17,决战！平安京 CN,厂商: 网易游戏,6.5,角色扮演,"MOBA,联机,多人",13807969 人安装 4224514 人关注
18,战双帕弥什 CN,厂商: 库洛游戏,7.2,角色扮演,"动作,高画质,二次元",572075 人安装 841967 人关注
19,天谕（预下载）,厂商: 网易游戏,8.6,角色扮演,"幻想,3D,MMORPG",1950497 人安装 1994205 人关注
20,月圆之夜,厂商: 滴答工作室,9.3,冒险,"卡牌,单机,Roguelike",7190355 人安装 10829948 人关注
21,元气骑士,厂商: 凉屋游戏,9.6,动作,"Roguelike,地牢,像素",10657832 人安装 3960130 人关注
22,崩坏3,厂商: miHoYo,6.8,动作,"动作,二次元,高画质",1004757 人安装 653481 人关注
23,我的侠客,厂商: 极光计划,6.7,角色扮演,"武侠,高自由度,开放世界",6641517 人安装 10220764 人关注
24,最强蜗牛 CN,厂商: 青瓷,4.4,角色扮演,"冒险,竖屏,放置",1441380 人购买 9040724 人关注
25,穿越火线-枪战王者,厂商: 腾讯,5.9,动作,"第一人称射击,吃鸡,联机",1241859 人安装 1761916 人关注
26,江南百景图 CN,厂商: 椰岛游戏,7.1,模拟,"建设,经营,放置",2453028 人安装 1822327 人关注
27,诸神皇冠 CN,厂商: 微主流,8.1,策略,"单机,SRPG,战棋",90290866 人安装 17573683 人关注
28,QQ飞车 CN,厂商: 腾讯,7,竞速,"竞速,漂移,飙车",1629472 人安装 1537318 人关注
29,人类跌落梦境 CN,厂商: 心动网络,7,冒险,"多人,冒险,魔性",472032 人安装 403968 人关注
30,公主连结Re:Dive CN,厂商: 哔哩哔哩游戏,6.6,角色扮演,"二次元,卡牌,美少女",5521960 人安装 1004592 人关注
31,万象物语 CN,厂商: 龙渊网络,8.5,角色扮演,"养成,角色扮演,RPG",559267 人购买 1460173 人关注
32,香肠派对,厂商: 真有趣游戏,7.6,动作,"射击,吃鸡,多人",105749 人安装 171482 人关注
33,剑与远征 CN,厂商: 莉莉丝游戏,6.1,卡牌,"竖屏,放置,挂机",6625824 人安装 3105663 人关注
34,2047,厂商: 文艺复兴工作室,8.9,卡牌,"CCG,卡牌,卡牌对战",615071 人安装 477068 人关注
35,仙境传说RO：守护永恒的爱,厂商: 心动网络,7.1,角色扮演,"MMORPG,二次元,联机",21070 人关注
36,帕斯卡契约,厂商: TipsWorks,9,动作,"单机,高画质,动作",17638925 人安装 6371527 人关注
37,密室逃脱绝境系列9无人医院,厂商: 深圳市火星人互动娱乐有限公司,8.7,益智,"儿童保护,密室逃脱,恐怖",355054 人关注
38,一梦江湖 CN,厂商: 网易游戏,7.2,角色扮演,"高自由度,武侠,MMORPG",230755 人安装 302794 人关注
39,三国志幻想大陆,厂商: 广州灵犀互动娱乐有限公司,5.8,卡牌,"卡牌,三国,养成",618179 人关注
40,最终庇护所（测试版）,厂商: 悟饭游戏,7.6,模拟,"末日,策略,模拟经营",550109 人安装 1127021 人关注
41,我的世界 CN,厂商: 网易游戏,6.4,休闲,"联机,多人,沙盒",141262 人安装 288466 人关注
42,邂逅在迷宫（测试服）,厂商: 奥熠游戏,8.1,角色扮演,"挂机,二次元,放置",1377940 人购买 1885716 人关注
43,偶像梦幻祭2,厂商: 乐元素科技(北京)股份有限公司,8.5,音乐,"音游,女性向,音乐",484876 人安装 336174 人关注
44,论如何建立一个修仙门派（测试版）,厂商: HydrozoaWorks,8.6,模拟,"修仙,文字,单机",1224598 人安装 656804 人关注
45,解神者：X2,厂商: SIVA游戏制作委员会,5.6,角色扮演,"ARPG,ACG,二次元",3411693 人安装 1689220 人关注
46,灵猫传,厂商: 朝夕光年,8.1,角色扮演,"剧情,乙女,恋爱",538706 人购买 803079 人关注
47,Muse Dash 喵斯快跑,厂商: 心动网络,9.5,音乐,"付费,音游,二次元",1968668 人安装 1252372 人关注
48,无极仙途,厂商: 风之力游戏,8.7,角色扮演,"修仙,挂机,放置",1154536 人安装 819838 人关注
49,托拉姆物语,厂商: 小游网络,7.3,角色扮演,"MMORPG,捏脸,角色扮演",188056 人安装 368904 人关注
50,永远的7日之都,厂商: 网易游戏,8.1,角色扮演,"二次元,美少女,养成",2542961 人安装 1137368 人关注
51,汉末霸业 CN,厂商: 成都龙游天下,8.5,策略,"付费,三国,单机",1427310 人安装 706652 人关注
52,伊洛纳 (elona),厂商: 雷霆游戏,7.1,角色扮演,"角色扮演,开放世界,像素",1832618 人安装 1042974 人关注
53,动物餐厅 CN,厂商: DHGAMES,8.8,模拟,"放置,可爱,经营",252659 人安装 410776 人关注
54,鸿图之下,厂商: 腾讯,7.4,策略,"SLG,策略,虚幻4",158674 人购买 306926 人关注
55,机动战队大作战 CN,厂商: 游戏公国,7.4,卡牌,"二次元,美少女,机甲",1513780 人安装 787716 人关注
56,暴走英雄坛 CN,厂商: 上海晓枫网络科技有限公司,7.4,角色扮演,"武侠,放置,文字",1514593 人安装 1248884 人关注
57,三国杀 CN,厂商: 杭州游卡网络技术有限公司,3.2,桌面和棋类,"策略,桌面和棋类,卡牌",424939 人安装 305934 人关注
58,时空中的绘旅人,厂商: 网易游戏,8.4,角色扮演,"剧情,女性向,乙女",2722684 人安装 1646157 人关注
59,下一站江湖Ⅰ,厂商: 搜发互娱,8.2,角色扮演,"单机,武侠,TapTap独家",1027045 人关注
60,古代战争：放置救世主 CN,厂商: 猫步游戏,9.2,角色扮演,"竖屏,放置,挂机",331124 人关注
61,阴阳师：百闻牌 CN,厂商: 网易游戏,6.5,卡牌,"CCG,阴阳师,卡牌对战",948230 人安装 1119036 人关注
62,烟雨江湖,厂商: 杭州西米,6.1,角色扮演,"武侠,单机,角色扮演",861132 人安装 1175104 人关注
63,荒野乱斗 CN,厂商: Supercell,4.4,动作,"休闲竞技,多人,动作",2589095 人安装 1179981 人关注
64,Phigros（测试版）,厂商: Pigeon Games | 鸽游,9.6,音乐,"音游,节奏,UP主推荐",1160733 人安装 1088573 人关注
65,大千世界（测试版）,厂商: 滑稽工作室,8.8,角色扮演,"RPG,开放世界,像素",9397340 人安装 4716990 人关注
66,奥拉星,厂商: 广州天梯网络科技有限公司,6,冒险,"养成,宠物,精灵",600979 人安装 3826353 人关注
67,食物语 CN,厂商: 腾讯,6,角色扮演,"女性向,养成,美食",1461809 人安装 834403 人关注
68,少女前线 CN,厂商: 上海散爆网络科技有限公司,8.5,策略,"美少女,策略,二次元",360104 人安装 311397 人关注
69,不休的乌拉拉 CN,厂商: 心动网络,4.3,休闲,"放置,挂机,休闲",486972 人关注
70,明日之后 CN,厂商: 网易游戏,4.1,角色扮演,"生存,多人联机,末日",2514286 人安装 1166494 人关注
71,开心消消乐,厂商: 乐元素科技(北京)股份有限公司,8.6,休闲,"益智,消除,消消乐",42226 人关注
72,地下城堡2：黑暗觉醒 CN,厂商: 雷霆游戏,9.1,模拟,"冒险,地牢,策略",412507 人安装 419926 人关注
73,元素方尖,厂商: 炽游GAME,6.8,冒险,"冒险,单机,地牢",1573013 人安装 1103129 人关注
74,逐光：启航（测试版） CN,厂商: Ohayoo,9.5,冒险,"文字,剧情,挂机",45775 人安装 156832 人关注
75,想不想修真,厂商: 鬼市管理员,7.2,文字,"竖屏,养成,修仙",7294709 人安装 4402130 人关注
76,行侠放置（测试版）,厂商: Sicuing,8.5,角色扮演,"文字,角色扮演,放置挂机",350896 人安装 349762 人关注
77,不朽之旅 CN,厂商: 雷霆游戏,5,策略,"暗黑,文字,竖屏",1233587 人安装 1412531 人关注
78,闪耀暖暖 CN,厂商: 叠纸游戏,4.8,角色扮演,"换装,3D,养成",3863726 人安装 1969746 人关注
79,策魂三国,厂商: 冰锥工作室,4.8,策略,"三国,战棋,策略",852075 人安装 541527 人关注
80,第五人格 CN,厂商: 网易游戏,7.3,角色扮演,"逃生,联机,多人",2211689 人安装 1139050 人关注
81,三国志·战略版,厂商: 广州简悦科技,6.3,策略,"策略,SLG,三国",526918 人安装 706676 人关注
82,战魂铭人 CN,厂商: 凉屋游戏,6.8,动作,"像素,Roguelike,单机",36019 人购买 124863 人关注
83,忍者必须死3,厂商: 小白工作室,6,动作,"虐心,动作,跑酷",171196 人安装 151752 人关注
84,影之诗 CN,厂商: 网易游戏,7.7,卡牌,"卡牌,TCG,卡牌对战",265941 人安装 688338 人关注
85,汉家江湖 CN,厂商: 汉家松鼠工作室,8.8,角色扮演,"武侠,角色扮演,战棋",531954 人安装 564950 人关注
86,阴阳师：妖怪屋 CN,厂商: 网易游戏,6.2,休闲,"养成,弹珠,阴阳师",2683842 人安装 1405697 人关注
87,怪奇小店,厂商: Neverland,8.7,模拟,"经营,像素,付费",33884 人关注
88,球球英雄,厂商: 霍尔果斯游众网络,6,策略,"塔防,竞技,竖屏",1405308 人安装 1605465 人关注
89,黑潮之上 CN,厂商: 网易游戏,4.6,角色扮演,"二次元,卡牌,策略",2321479 人安装 1147533 人关注
90,未定事件簿 CN,厂商: miHoYo,8,角色扮演,"乙女,女性向,推理",1575354 人安装 1375491 人关注
91,活下去,厂商: 黑骑士工作室,9,冒险,"生存,丧尸,单机",2764399 人安装 1197549 人关注
92,末日幸存者（测试服）,厂商: 幸存者互助协会,6.3,角色扮演,"生存,联机,末日",1296432 人安装 809534 人关注
93,#COMPASS 战斗天赋解析系统 CN,厂商: 心动网络,8,动作,"竖屏,卡牌,MOBA",3006343 人安装 1519458 人关注
94,不思议迷宫 CN,厂商: 雷霆游戏,8.4,策略,"UP主推荐,地牢,Roguelike",2141669 人安装 1350885 人关注
95,我的勇者 CN,厂商: 魔力数娱,4.7,角色扮演,"角色扮演,像素,联机",650657 人安装 810529 人关注
96,部落冲突 (Clash of Clans) CN,厂商: Supercell,9.2,策略,"战争,建造,策略",2111982 人安装 948447 人关注
97,率土之滨,厂商: 网易游戏,4.2,策略,"策略,SLG,三国",2081469 人安装 956233 人关注
98,召唤与合成 CN,厂商: 召合网络,9.7,益智,"卡牌,三消,策略",261445 人安装 245646 人关注
99,古今江湖 CN,厂商: 3K独游屋,8.3,卡牌,"武侠,策略,卡牌",606707 人安装 752059 人关注
100,双生视界 CN,厂商: 哔哩哔哩游戏,6.3,角色扮演,"二次元,经营,Live2D",2505493 人安装 910595 人关注
101,放置江湖,厂商: 小猴跳跳,7.5,角色扮演,"文字,武侠,放置",2479786 人安装 1255404 人关注
102,300大作战,厂商: 跳跃网络,4.2,动作,"二次元,MOBA,联机",1559301 人安装 737273 人关注
103,密室逃脱绝境系列10寻梦大作战,厂商: 深圳市火星人互动娱乐有限公司,9.2,益智,"TapTap独家,解谜,密室逃脱",433053 人关注
104,梦想协奏曲！少女乐团派对！ CN,厂商: 哔哩哔哩游戏,9,音乐,"音乐,美少女,音游",477529 人购买 1921162 人关注
105,植物大战僵尸2 CN,厂商: 拓维游戏,5,策略,"僵尸,塔防,单机",3685922 人安装 1805678 人关注
106,奇葩战斗家,厂商: 雷霆游戏,8.6,动作,"联机,多人对战,io",695665 人关注
107,坦克世界闪击战 CN,厂商: 网易游戏,6.4,模拟,"战争,联机,自由",4183424 人安装 3933516 人关注
108,2048清（测试版）,厂商: 召合网络,9.9,益智,"竖屏,消除,单机",142103 人关注
109,音乐世界 Cytus II,厂商: 龙渊网络,9.6,音乐,"付费,音游,内购",387770 人安装 544338 人关注
110,猎魂觉醒 CN,厂商: 网易游戏,7.2,角色扮演,"高自由度,狩猎,MMORPG",1465632 人安装 1083963 人关注
111,DB系统（测试版） CN,厂商: ST,9.2,角色扮演,"独立游戏,养成,冒险",6955817 人安装 3439818 人关注
112,球球大作战,厂商: Superpop Inc.,6.1,动作,"多人,联机,io",328730 人关注
113,宝箱与勇士（测试版）,厂商: Ohayoo,7.8,角色扮演,"角色扮演,策略,RPG",584198 人安装 437364 人关注
114,万国觉醒 CN,厂商: 莉莉丝游戏,3.7,策略,"策略,SLG,联机",1209830 人安装 798544 人关注
115,魂器学院 CN,厂商: 傲娇工作室,8.1,休闲,"竖屏,收集,放置",104928 人关注
116,失落城堡,厂商: 雷霆游戏,8.7,动作,"联机,Steam移植,Roguelike",4772985 人安装 2040386 人关注
117,华夏人生（测试版）,厂商: 快乐无法挡,8.5,模拟,"模拟,沙盒,联机",1594859 人安装 2309884 人关注
118,梦幻西游 CN,厂商: 网易游戏,7.4,角色扮演,"回合制,MMORPG,角色扮演",1324771 人安装 481398 人关注
119,牧羊人之心 CN,厂商: 第一弹游戏,8.4,休闲,"养成,竖屏,魔物娘",2172904 人安装 1217192 人关注
120,负之遗产（测试版）,厂商: 扑家工作室,7.3,角色扮演,"挂机,单机,像素",792002 人关注
121,非人学园 CN,厂商: 网易游戏,7,角色扮演,"MOBA,联机,二次元",3900497 人安装 1922569 人关注
122,龙族幻想 CN,厂商: 腾讯,4.5,角色扮演,"高画质,MMORPG,开放世界",1360048 人安装 595190 人关注
123,实况足球 CN,厂商: 网易游戏,5.3,体育,"足球,体育,模拟",850372 人安装 460537 人关注
124,黑暗料理王,厂商: 椰岛游戏,9.3,模拟,"经营,模拟,放置",142146 人关注
