游戏排名,游戏名称,游戏厂商,游戏评分,游戏分类,游戏标签,数据
1,像素时代,厂商: 纵艺科技,9.7,模拟,"社交,像素,沙盒",14094 人预约 14783 人关注
2,天地劫：幽城再临,厂商: 紫龙游戏,9.1,角色扮演,"武侠,战棋,角色扮演",414772 人预约 415671 人关注
3,密室逃脱绝境系列9无人医院,厂商: 深圳市火星人互动娱乐有限公司,8.8,益智,"儿童保护,恐怖,TapTap独家",89852 人安装 159658 人关注
4,一念逍遥,厂商: 雷霆游戏,6.8,角色扮演,"修仙,放置,挂机",216926 人预约 220174 人关注
5,摩尔庄园,厂商: 雷霆游戏,9.6,休闲,"童年,休闲,联机",1123318 人预约 1165193 人关注
6,妙奇星球,厂商: 套鹿工作室,9.7,休闲,"收集,放置,休闲",138361 人预约 150795 人关注
7,月圆之夜,厂商: 滴答工作室,9.3,冒险,"卡牌,单机,Roguelike",7697486 人安装 3620315 人关注
8,逐光：启航（测试版）,厂商: Ohayoo,9.5,冒险,"文字,剧情,挂机",481622 人关注
9,妄想山海,厂商: 腾讯,8.5,角色扮演,"开放世界,高自由度,山海经",593837 人预约 618642 人关注
10,魔灵时代,厂商: 蜜蜂工作室,7.3,卡牌,"冒险,卡牌,放置",12769 人安装 12726 人关注
11,天谕,厂商: 网易游戏,8.9,角色扮演,"幻想,3D,MMORPG",1348949 人预约 1447391 人关注
12,比特小队,厂商: Kunpo,9.3,冒险,"地牢,Roguelike,联网",3897143 人安装 1920098 人关注
13,另一个伊甸 : 超越时空的猫,厂商: 心动网络,9.1,角色扮演,"单机,回合制,RPG",806233 人安装 1172214 人关注
14,提灯与地下城,厂商: 青瓷,7.2,角色扮演,"Roguelike,角色扮演,宠物",207019 人预约 211317 人关注
15,影之刃3,厂商: 灵游坊,8.8,角色扮演,"动作,角色扮演,武侠",956931 人预约 953280 人关注
16,赛博牛仔（测试版）,厂商: 嘟嘟游戏,7.4,角色扮演,"竖屏,赛博朋克,像素",30413 人关注
17,像素危城,厂商: 雷霆游戏,8.8,冒险,"像素,生存,经营",397019 人预约 394098 人关注
18,负之遗产（测试版）,厂商: 扑家工作室,7.3,角色扮演,"挂机,单机,像素",103245 人关注
19,使命召唤手游,厂商: 腾讯,8.1,动作,"第一人称射击,高画质,多人对战",1377196 人安装 5635342 人关注
20,无极仙途,厂商: 风之力游戏,8.7,角色扮演,"修仙,挂机,放置",481800 人安装 334402 人关注
21,开局一把剑（测试版）,厂商: 做个好游戏工作室,8.9,策略,"地牢,卡牌,单机",219965 人关注
22,某某宗女修修炼手札,厂商: HydrozoaWorks,9.7,休闲,"休闲,女性向,放置",31720 人预约 56473 人关注
23,地心纪元（测试版）,厂商: JoyDo Entertainment,7.4,角色扮演,"竖屏,射击,独立游戏",28375 人关注
24,Muse Dash 喵斯快跑,厂商: 心动网络,9.5,音乐,"付费,音游,二次元",1375599 人购买 1881312 人关注
