游戏排名,游戏名称,游戏厂商,游戏评分,游戏分类,游戏标签,游戏数据
1,王者荣耀 CN,厂商: 腾讯,4.8,动作,"多人对战,MOBA,联机",7086041 人安装 2589983 人关注
2,妄想山海,厂商: 腾讯,6.6,角色扮演,"开放世界,高自由度,山海经",403174 人安装 776830 人关注
3,明日方舟 CN,厂商: 鹰角网络,8.0,策略,"塔防,二次元,养成",30746843 人安装 34841681 人关注
4,使命召唤手游 CN,厂商: 腾讯,8.0,动作,"第一人称射击,高画质,多人对战",813449 人安装 1177285 人关注
5,原神 CN,厂商: miHoYo,4.4,角色扮演,"开放世界,二次元,角色扮演",7492215 人安装 3860749 人关注
6,阴阳师,厂商: 网易游戏,7.1,角色扮演,"卡牌,养成,回合制",726857 人安装 873083 人关注
7,幻书启世录,厂商: 网易游戏,4.6,角色扮演,"高画质,二次元,卡牌",2430222 人安装 1757863 人关注
8,和平精英 CN,厂商: 腾讯,6.9,动作,"多人联机,射击,第一人称射击",10262923 人安装 5021074 人关注
9,另一个伊甸 : 超越时空的猫 CN,厂商: 心动网络,9.0,角色扮演,"单机,回合制,RPG",3995207 人安装 5286977 人关注
10,光·遇 CN,厂商: 网易游戏,6.0,角色扮演,"唯美,治愈,RPG",865194 人安装 2304940 人关注
11,魔渊之刃,厂商: 雷霆游戏,5.8,动作,"ARPG,动作,Roguelike",3478329 人安装 2201904 人关注
12,碧蓝航线 CN,厂商: 哔哩哔哩游戏,8.6,策略,"二次元,美少女,养成",6886133 人安装 3035841 人关注
13,炉石传说,"厂商: Blizzard Entertainment, Inc.",7.2,策略,"CCG,暴雪,策略",4161521 人安装 2777615 人关注
14,火影忍者 CN,厂商: 腾讯,7.0,动作,"格斗,动作,ACG",156160 人安装 1497046 人关注
15,天涯明月刀,厂商: 腾讯,6.7,角色扮演,"武侠,高画质,MMORPG",7708380 人安装 3626187 人关注
16,命运-冠位指定（Fate/Grand Order） CN,厂商: 哔哩哔哩游戏,7.6,角色扮演,"二次元,卡牌养成,卡牌",17701422 人安装 8234433 人关注
17,决战！平安京 CN,厂商: 网易游戏,6.5,角色扮演,"MOBA,联机,多人",13808407 人安装 4224724 人关注
18,战双帕弥什 CN,厂商: 库洛游戏,7.2,角色扮演,"动作,高画质,二次元",572154 人安装 842038 人关注
19,天谕（预下载）,厂商: 网易游戏,8.6,角色扮演,"幻想,3D,MMORPG",1950635 人安装 1994266 人关注
20,月圆之夜,厂商: 滴答工作室,9.3,冒险,"卡牌,单机,Roguelike",7190523 人安装 10830707 人关注
21,元气骑士,厂商: 凉屋游戏,9.6,动作,"Roguelike,地牢,像素",10658668 人安装 3960445 人关注
22,崩坏3,厂商: miHoYo,6.8,动作,"动作,二次元,高画质",1004835 人安装 653496 人关注
23,我的侠客,厂商: 极光计划,6.7,角色扮演,"武侠,高自由度,开放世界",6641854 人安装 10221558 人关注
24,最强蜗牛 CN,厂商: 青瓷,4.4,角色扮演,"冒险,竖屏,放置",1442616 人购买 9041962 人关注
25,穿越火线-枪战王者,厂商: 腾讯,5.9,动作,"第一人称射击,吃鸡,联机",2453168 人安装 1822352 人关注
26,江南百景图 CN,厂商: 椰岛游戏,7.1,模拟,"建设,经营,放置",1241941 人安装 1761988 人关注
27,诸神皇冠 CN,厂商: 微主流,8.1,策略,"单机,SRPG,战棋",90296924 人安装 17574446 人关注
28,QQ飞车 CN,厂商: 腾讯,7.0,竞速,"竞速,漂移,飙车",1629558 人安装 1537328 人关注
